candidate,code_thematique,statut_triangulation,statut_couverture,colonnes_cibles,justification,section_de_reference
F_METEO.neige,07_CONTEXTE.Meteo,Confirmée,Couverte directement,meteo_neige_binaire_h,"Indicatrice de neige, hauteurs ecartees faute d instrumentation continue",4.4.2
F_METEO.ensoleillement,07_CONTEXTE.Meteo,Confirmée,Couverte directement,meteo_destination_ensol_total_j;meteo_destination_ensol_total_j_moins_1;meteo_destination_ensol_total_j_plus_1;meteo_destination_ensoleillement_min_h;meteo_destination_rayon_global_moy_j;meteo_ensol_total_j;meteo_ensol_total_j_moins_1;meteo_ensol_total_j_plus_1;meteo_ensoleillement_min_h;meteo_rayon_global_moy_j,"Duree d ensoleillement horaire et journaliere, completee du rayonnement global",4.4.2
F_METEO.vent,07_CONTEXTE.Meteo,Littérature,Couverte directement,meteo_destination_vent_max_h;meteo_destination_vent_max_j;meteo_vent_max_h;meteo_vent_max_j,Rafale maximale horaire et journaliere,4.4.2
F_SOL.pop_residente,—,Littérature,Couverte directement,spatial_gare_depart_pop_500m_total;spatial_gare_arrivee_pop_500m_total;spatial_gare_depart_menages_500m_total;spatial_gare_arrivee_menages_500m_total;spatial_gare_depart_pop_par_menage_500m;spatial_gare_arrivee_pop_par_menage_500m;spatial_gare_depart_part_menages_1p;spatial_gare_arrivee_part_menages_1p;spatial_gare_depart_part_grands_menages_4p;spatial_gare_arrivee_part_grands_menages_4p;spatial_gare_depart_part_pop_0_14_ans;spatial_gare_arrivee_part_pop_0_14_ans;spatial_gare_depart_part_pop_15_24_ans;spatial_gare_arrivee_part_pop_15_24_ans;spatial_gare_depart_part_pop_25_64_ans;spatial_gare_arrivee_part_pop_25_64_ans;spatial_gare_depart_part_pop_65_plus;spatial_gare_arrivee_part_pop_65_plus;spatial_gare_depart_part_pop_80_plus;spatial_gare_arrivee_part_pop_80_plus;spatial_gare_depart_indice_stabilite_resid;spatial_gare_arrivee_indice_stabilite_resid;spatial_gare_depart_indice_mobilite_resid;spatial_gare_arrivee_indice_mobilite_resid;spatial_gare_depart_part_nouveaux_arrivants_1an;spatial_gare_arrivee_part_nouveaux_arrivants_1an;spatial_gare_depart_part_pop_etrangere;spatial_gare_arrivee_part_pop_etrangere;spatial_gare_depart_part_pop_nee_etranger;spatial_gare_arrivee_part_pop_nee_etranger,"Bassin de desserte de chaque arret, population, menages et composition, par zone de Voronoi ecretee a 500 metres",4.4.2
F_SOL.densite_res,—,Littérature,Couverte avec transformation,spatial_gare_depart_pop_500m_total;spatial_gare_arrivee_pop_500m_total,"Couverte par le construit et non par la forme, la densite par unite de surface n ayant pas ete retenue",4.4.5
F_RESEAU.bus_215,04_CONTROLE.Alternative,Confirmée,Couverte avec transformation,vmcv_delta_attente_min;vmcv_delta_frequence_h;vmcv_min_attente_min;vmcv_n_lignes_concurrentes,L indicateur binaire de circulation est remplace par des derives de concurrence modale,4.4.2
F_RESEAU.correspondance,04_CONTROLE.Correspondance,Confirmée,Couverte directement,ist_corresp_in_n_garanties_moy_20occ;ist_corresp_in_n_garanties_moy_5occ;ist_corresp_in_n_theoriques_moy_20occ;ist_corresp_in_n_theoriques_moy_5occ;ist_corresp_in_pct_garanties_20occ;ist_corresp_in_pct_garanties_5occ;ist_corresp_out_n_garanties_moy_20occ;ist_corresp_out_n_garanties_moy_5occ;ist_corresp_out_n_theoriques_moy_20occ;ist_corresp_out_n_theoriques_moy_5occ;ist_corresp_out_pct_garanties_20occ;ist_corresp_out_pct_garanties_5occ,"Correspondances theoriques et garanties au noeud de Vevey, dans les deux sens",4.4.2
F_TERRAIN.altitude,—,Littérature,Couverte avec transformation,spatial_denivele_troncon_m,"Le denivele signe du troncon porte la pente orientee, l altitude brute redondant avec le rang de l arret",4.4.5
F_TERRAIN.troncon,01_PROFIL.Ancrage,Émergente,Couverte par le grain,spatial_gare_depart_ordre;spatial_gare_arrivee_ordre;spatial_segment;spatial_distance_km,"Propriete du grain d observation, materialisee par la topologie du troncon",4.4.5
F_EVT.jazz,07_CONTEXTE.Evenement,Confirmée,Couverte directement,event_is_montreux_jazz,Indicatrice du Montreux Jazz Festival,4.4.2
F_EVT.marche_noel,07_CONTEXTE.Evenement,Confirmée,Couverte directement,event_is_marche_noel;event_is_montreux_noel,"Indicatrices des marches de Noel, strictement identiques sur le perimetre",4.4.2
F_EVT.narcisses,07_CONTEXTE.Evenement,Émergente,Couverte directement,event_is_saison_narcisses;event_narcisses_source,"Fenetre calendaire de floraison, choix a priori non valide empiriquement",4.4.2
F_EVT.calendrier_local,07_CONTEXTE.Evenement,Confirmée,Couverte directement,event_is_manifestation_riviera;event_n_manifestations_blonay_j;event_n_manifestations_hors_zone_j;event_n_manifestations_riviera;event_n_manifestations_st_legier_j;event_n_manifestations_vevey_j;event_n_manifestations_zone_directe_j;event_n_manifestations_zone_indirecte_j,"Agenda regional en compteurs journaliers, zonage a trois niveaux et compteurs de localite",4.4.2
F_EVT.ski,07_CONTEXTE.Evenement,Émergente,Couverte directement,event_is_ski_ouvert;event_ski_source,Dates officielles d ouverture du domaine skiable des Pleiades,4.4.2
F_OPS.travaux,04_CONTROLE.Perturbation,Émergente,Non couverte,,"Candidate non instruite, faute de source exploitable au grain requis",4.4.5
F_OPS.composition,—,Émergente,Exclue par conception,,"Variable de decision de l artefact, exclue au titre de la causalite inversee",4.4.5
F_OPS.direction,01_PROFIL.Ancrage,Émergente,Couverte par le grain,base_sens,"Propriete du grain d observation, le troncon etant oriente",4.4.5
F_OPS.headway,04_CONTROLE.Frequence,Confirmée,Couverte directement,ist_headway_apres_is_last_of_day;ist_headway_apres_min;ist_headway_avant_is_first_of_day;ist_headway_avant_min,Intervalle a la course precedente et suivante sur la grille planifiee connue la veille,4.4.2
F_OPS.groupes,08_SOCIAL.Groupe,Émergente,Couverte directement,resa_has_resa_J_minus_1;resa_max_groupe_2c_J_minus_1;resa_n_dossiers_J_minus_1;resa_n_langues_distinctes_J_minus_1;resa_n_pays_distincts_J_minus_1;resa_part_scolaire_J_minus_1;resa_part_tour_operator_J_minus_1;resa_pax_2c_J_minus_1,"Presence de groupes annonces sur la course, colonies, classes et institutions, identifies par les participants comme configuration remplissant le train, operationnalisee par les dossiers de reservation connus a J-1",4.4.2
F_EMERG.migros,07_CONTEXTE.Evenement,Émergente,Non couverte,,Jugee non operationnalisable comme variable temporelle des le codage,4.4.5
F_EMERG.1ere_classe,09_QUALITE.Confort,Émergente,Exclue par conception,,"Derive arithmetiquement de la composition, exclue au meme titre",4.4.5
